クレマチス,1,15,5,flower,"3,4,5,6,7,8,9,10,11",TRUE,早春から晩秋にかけては、定期的に肥料を施す。緩効性肥料を真夏を除き1~2か月に1回、液体肥料月2~3回。なお植え付け時には、元肥を施す。また、冬の間に寒肥を施すと、春の新芽の生育が良くなる。,outdoor,ground,seedling,
ヤマボウシ,37,1537,4,plant,"7,8,9,10",FALSE,花期は、6月~7月、花後には果実を実らせ、果実は秋になると赤く熟します。果実は1~3㎝程度の球形で、食べることができます。,outdoor,ground,complete,
カタクリ,8,431,2,flower,"3,4,5",TRUE,生育期間が短いため、肥料は多くなくて良いです。元肥は、有機肥料を好むので、堆肥、腐葉土、ピートモスなどを土の量に対して3割くらいと緩効性の根を傷めない化成肥料をよく混ぜ合わせるようにして施します。,outdoor,ground,seedling,
アオキ,19,872,5,plant,"3,4,5",TRUE,3月に化成肥料を株元に追肥,indoor,pot,seed,
ウツギ,1,12,4,plant,"3,4,5",TRUE,晩秋から冬にかけて、株の周囲に何か所か深めの穴を掘り、堆肥などの有機物と緩効性の化成肥料を混ぜ合わしたものを地中深く施します。また、花が終わった後のお礼肥も化成肥料を地中深く施します。,outdoor,ground,seedling,
ガルトニア,47,1859,4,flower,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,春に目が出てきてから6月ごろまで、月に1~2回液体肥料を施します。,indoor,pot,bulb,
キバナコスモス,47,1857,5,flower,"3,4,5,6,7,8,9,10,11",FALSE,,veranda,pot,seed,
キキョウ,22,1017,5,flower,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,植え替え時にリン酸とカリウム多めの緩効性肥料を施す。3月~5月は月に一回、油粕と骨粉の等量配合の親指大、5号鉢で3~4回施す。6月~9月は、三要素等量の液肥を2000倍希釈を、月に2~3回施す。,veranda,pot,seed,
スパティフィラム,25,1153,4,flower,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,よく開花を咲かせるためには、十分な肥料を必要とします。春から秋の成長期には、緩効性の置き肥を規定量よりやや多めに施します。,indoor,pot,seedling,
ゼラニューム,39,1588,5,plant,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,用土に元肥としてカルシウムを含む緩効性肥料を加える。早春から初夏と、秋に追肥。液肥を水やり代わりでも良いが、開花期に肥料が多いと花茎が柔らかくなって倒れやすくなるので、緩効性肥料を置き肥すると良い。,outdoor,pot,seedling,
