ツツジ,9,466,4,flower,"3,4,5",TRUE,花後の5月から6月と、株の充実する9月下旬、休眠期の1月に、緩効性化成肥料や固形の油かすを施します。,outdoor,ground,complete,
アベリア,10,509,4,flower,"3,4,5,6,7,8,9,10,11",TRUE,2月~3月の間に寒肥を、開花中盤の9月中旬に、緩効性化成肥料を施しましょう。,outdoor,pot,seedling,耐寒性
アジサイ,14,748,4,flower,"7,8,9,10",TRUE,寒肥は3月までに有機物（堆肥など）と草木灰を混ぜたものを株の周囲に施し、開花前の5月ごろに油かすなどを施します。,outdoor,ground,complete,耐暑性
アスパラガス（観賞用）,41,1681,5,plant,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,春と秋の生育期に、緩効性の化成肥料を各1回施します。または速効性の液体肥料を月1~2回施すのもよいでしょう。,indoor,pot,seedling,耐暑性
アマリリス,44,1774,4,flower,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,用土には、あらかじめ元肥として三要素等量の緩効性の化成肥料をを混ぜておきます。花後に。カリ分の多めの液体肥料か固形肥料を追肥します。,outdoor,pot,seedling,耐暑性
インドゴム,46,1845,5,flower,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,春と秋に各1回、緩効性の化成肥料を置き肥すれば十分です。,indoor,pot,complete,
ハオルチア,46,1844,4,succulent,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,春と秋の生育期に緩効性化成肥料か液体肥料を少量施します。,indoor,pot,complete,多肉植物
オモト（万年草）,36,1522,5,plant,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,2月中旬に有機質の固形肥料小粒を1~3回、4月初めに2~3回、9月下旬に1~3回,indoor,pot,complete,観葉植物
アサガオ,14,723,4,flower,"7,8,9,10",TRUE,元肥として緩効性肥料を用土に混ぜておきます。その後は、10日後に1回程度、チッ素分の少ない液体肥料を水やり代わりに施します。花が付き始める7月中旬からは、肥料を中止します。,veranda,pot,seed,
ケイトウ,47,1896,5,flower,"1,2,3,4,5,6,7,8,9,10,11,12",FALSE,,outdoor,ground,complete,草花
サツキ,10,496,4,plant,"3,4,5",FALSE,,outdoor,ground,complete,
ジャーマンカモミール,11,537,5,plant,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,元肥として緩効性肥料を混ぜます。,outdoor,pot,seedling,ハーブ
南天,21,984,4,flower,"7,8,9,10",TRUE,冬に鶏ふんなどの有機肥料と緩効性の化成肥料を混合したものを施します。,outdoor,ground,complete,
シロタギク,12,618,5,plant,"1,2,3,4,5,6,7,8,9,10,11,12",FALSE,,outdoor,pot,seedling,草木
センイチソウ,29,1350,5,flower,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,5月~10月の間に、緩効性化成肥料（N-P-K=10_10_10）を月1回施します。,outdoor,ground,seedling,
マンリョウ,8,423,4,plant,"1,2,12",FALSE,,outdoor,ground,seedling,"低木,花,日陰,常緑性"
