チューリップ,12,606,5,flower,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,用土はあらかじめ緩効性化成肥料（3要素等量）を元肥として混ぜておきます。12月くらいに緩効性化成肥料（3要素等量）を追肥します。なお、お礼肥は新しい球根が腐りやすくなるためしません。,veranda,pot,bulb,
ハイビスカス,47,1873,4,flower,"3,4,5,6,7,8,9,10,11",TRUE,春から秋にかけて生育期に、化成肥料を規定量よりやや多めに施します。ただし夏の暑さで成長が衰えているときは、化成肥料は控えてやや薄めの液体肥料を施し、様子を見てください。,outdoor,ground,seedling,
ヒヤシンス,13,670,4,flower,"3,4,5",TRUE,植付けの際に、元肥として緩効性の粒状化成肥料と苦土石灰を凍土に混ぜておきます。固形の有機質肥料を施す際に、球根から離して、表土に埋めるようにします。花が終わる頃に球根を肥大させるための追肥を施します。,veranda,pot,bulb,
ユリ,19,864,4,flower,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,緩効性化成肥料を1㎡あたり100ｇ、を元肥として施します。生育中は、2週間に1回程度液体肥料を施します。,veranda,pot,bulb,
バージニアストック,12,633,3,flower,"3,4,5",FALSE,,outdoor,ground,seedling,
マリーゴールド,12,621,5,flower,"3,4,5,6,7,8,9,10,11",FALSE,,outdoor,ground,seedling,
アッツザクラ,21,969,4,flower,"3,4,5",TRUE,開花後液体肥料か緩効性化成肥料の置き肥を施す。,veranda,pot,bulb,
エランギス,23,1073,2,flower,"1,2,3,4,5,6,7,8,9,10,11,12",FALSE,,indoor,pot,complete,
オシロイバナ,6,330,4,flower,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,月3回くらい液体肥料を施します。,veranda,pot,seedling,
グラクトペタルム,12,622,5,succulent,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,春と秋の生育期に、緩効性化成肥料を少量施します。,indoor,pot,complete,多肉植物
センペルビウム,12,644,3,succulent,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,春と秋の生育期に、緩効性化成肥料を2か月に1回施します。,indoor,pot,complete,多肉植物
ボーチュラカリア,13,672,4,plant,"1,2,3,4,5,6,7,8,9,10,11,12",TRUE,春と秋の生育期に、緩効性化成肥料を2か月に1回施します。,indoor,pot,complete,
